episode,epsilon,total_reward
88.0,0.34119706568856284,-9.0
89.0,0.3410970323441147,-9.0
90.0,0.3409969989996665,-9.0
91.0,0.3408969656552184,-11.0
92.0,0.34079693231077024,8.0
93.0,0.3406968989663221,-10.0
94.0,0.3405968656218739,-9.0
95.0,0.3404968322774258,-11.0
96.0,0.34039679893297764,-11.0
97.0,0.3402967655885295,8.0
98.0,0.3401967322440813,9.0
99.0,0.3400966988996332,7.0
100.0,0.33999666555518504,-9.0
101.0,0.3398966322107369,-9.0
102.0,0.3397965988662887,7.0
103.0,0.3396965655218406,8.0
104.0,0.33959653217739244,7.0
105.0,0.3394964988329443,10.0
106.0,0.3393964654884961,7.0
107.0,0.33929643214404803,8.0
108.0,0.33919639879959984,10.0
109.0,0.3390963654551517,10.0
110.0,0.3389963321107035,10.0
111.0,0.33889629876625543,10.0
112.0,0.33879626542180724,9.0
113.0,0.3386962320773591,10.0
114.0,0.3385961987329109,10.0
115.0,0.33849616538846283,10.0
116.0,0.33839613204401464,-8.0
117.0,0.3382960986995665,-8.0
118.0,0.3381960653551183,-9.0
119.0,0.33809603201067023,-8.0
120.0,0.33799599866622204,10.0
121.0,0.3378959653217739,8.0
122.0,0.33779593197732577,-3.0
123.0,0.33769589863287763,-8.0
124.0,0.33759586528842944,10.0
125.0,0.3374958319439813,-11.0
126.0,0.33739579859953317,-8.0
127.0,0.33729576525508503,10.0
128.0,0.33719573191063684,-8.0
129.0,0.3370956985661887,7.0
130.0,0.33699566522174057,10.0
131.0,0.33689563187729243,10.0
132.0,0.33679559853284424,-10.0
133.0,0.3366955651883961,10.0
134.0,0.33659553184394797,-3.0
135.0,0.33649549849949983,-3.0
136.0,0.33639546515505164,-9.0
137.0,0.3362954318106035,-9.0
138.0,0.33619539846615537,-8.0
139.0,0.33609536512170723,10.0
140.0,0.33599533177725904,10.0
141.0,0.3358952984328109,-8.0
142.0,0.33579526508836277,-8.0
143.0,0.33569523174391463,-9.0
144.0,0.33559519839946644,9.0
145.0,0.3354951650550183,9.0
146.0,0.33539513171057017,-3.0
147.0,0.33529509836612204,-5.0
148.0,0.33519506502167384,-8.0
